West Toodyay,west-toodyay,2058594
Prospect,prospect,8349221
Pickering Brook,pickering-brook,2063432
Norseman,norseman,2064553
Morawa,morawa,2065779
Mataranka,mataranka,2066808
Macclesfield,macclesfield,2159256
Largs Bay,largs-bay,2067930
Kununurra,kununurra,2068110
Katanning,katanning,2068661
Kapunda,kapunda,2068734
Herne Hill,herne-hill,8348350
Port Denison,port-denison,2072950
Corrigin,corrigin,2073633
Camooweal,camooweal,2075074
Albany,albany,2077963
Claremont,claremont,2171476
Yerrinbool,yerrinbool,2142301
Wacol,wacol,2145135
Upper Orara,upper-orara,2145433
Upper Caboolture,upper-caboolture,2145467
Tugun,tugun,2145929
Terranora,terranora,2147042
Taroona,taroona,2147344
Swan Hill,swan-hill,2147756
Surry Hills,surry-hills,2147821
South Arm,south-arm,2149100
Somerville,somerville,8349422
Somerset,somerset,2149138
Scamander,scamander,2150136
Sawtell,sawtell,2150163
Rutherglen,rutherglen,2150788
Rocklea,rocklea,2151430
Perth,perth,2063523
Oxley,oxley,2154048
Oakleigh,oakleigh,2154618
Normanton,normanton,2155085
Nikenbah,nikenbah,2155329
Newport,newport,7932690
Neerim South,neerim-south,2155600
Nabiac,nabiac,2155892
Myrtleford,myrtleford,2155907
Murphys Creek,murphys-creek,2156138
Mudgee,mudgee,2156404
Mittagong,mittagong,2157373
Minnamurra,minnamurra,2157527
Mildura,mildura,2157698
Merrigum,merrigum,2158029
Menzies Creek,menzies-creek,2158106
Lorne,lorne,2159545
Langwarrin,langwarrin,2160582
Kingston,kingston,8349299
Kianga,kianga,2161509
Katunga,katunga,2161771
Kandos,kandos,2161935
Kalorama,kalorama,2161976
Jindera,jindera,2162250
Inverloch,inverloch,2162658
Holbrook,holbrook,2163314
Heathmont,heathmont,2163684
Haymarket,haymarket,2163755
Hamilton,hamilton,2207245
Grantville,grantville,2164694
Gorokan,gorokan,2164855
Gilgai,gilgai,2165597
Ganmain,ganmain,2165929
Galston,galston,2165947
Fassifern,fassifern,2166833
Emmaville,emmaville,2167404
Elliminyt,elliminyt,2167503
Eden Park,eden-park,2167791
Doonside,doonside,2168556
Coutts Crossing,coutts-crossing,2170190
Coopernook,coopernook,2170485
Coolah,coolah,2170643
Coledale,coledale,2171048
Charlton,charlton,2171731
Campbells Creek,campbells-creek,2172597
Buninyong,buninyong,2173220
Broadmeadows,broadmeadows,2173964
Bridgewater,bridgewater,2075806
Blacks Beach,blacks-beach,2175453
Birkdale,birkdale,2175696
Beechmont,beechmont,2176433
Alexandria,alexandria,2178136
New Lambton,new-lambton,2205629
Yarrawarrah,yarrawarrah,2205980
Agnes Water,agnes-water,6621373
Athelstone,athelstone,6943474
Goolwa South,goolwa-south,7116074
Ascot,ascot,2177580
Arrawarra,arrawarra,8219728
Grasmere,grasmere,2070478
McGraths Hill,mcgraths-hill,8219803
Silverdale,silverdale,8219828
Brandy Hill,brandy-hill,8310686
Mudjimba,mudjimba,8310745
Moorebank,moorebank,8347678
Surrey Downs,surrey-downs,8347696
Bullaburra,bullaburra,8347732
Yalyalup,yalyalup,8347739
Busby,busby,8347836
Chifley,chifley,8348372
Werrington,werrington,8347958
Fairview Park,fairview-park,8348016
Mickleham,mickleham,8348035
Redan,redan,8348053
Magill,magill,8348077
Teneriffe,teneriffe,8348131
Rockville,rockville,8348226
Carlisle,carlisle,8348268
Ridgewood,ridgewood,8348294
Christie Downs,christie-downs,8348408
Abercrombie,abercrombie,8348411
Murrumba Downs,murrumba-downs,8348442
Glendalough,glendalough,8348444
Queenstown,queenstown,2152272
Halekulani,halekulani,8348584
Hallsville,hallsville,8348585
Jerrabomberra,jerrabomberra,8348605
Liberty Grove,liberty-grove,8348629
Macquarie Fields,macquarie-fields,8348658
Pearsall,pearsall,8348661
Narrawallee,narrawallee,8348700
Stratton,stratton,8348708
Rosemeadow,rosemeadow,8348741
Wyoming,wyoming,8348757
Don Valley,don-valley,8348799
Tallwoods Village,tallwoods-village,8348800
Turvey Park,turvey-park,8348804
Heckenberg,heckenberg,8348808
Albert Park,albert-park,9973088
Garbutt,garbutt,8348853
Newtown,newtown,8348429
Whitfield,whitfield,8348993
Carey Park,carey-park,8349036
Deepdale,deepdale,8349050
Kiara,kiara,8349076
Mount Hawthorn,mount-hawthorn,8349084
Battery Point,battery-point,8349119
Kings Meadows,kings-meadows,8349134
Jingili,jingili,8349153
Bradbury,bradbury,8349197
Waterford,waterford,8349280
Mothar Mountain,mothar-mountain,8349294
Franklin,franklin,2166160
Scullin,scullin,8349327
Mitchell Park,mitchell-park,8347903
Marmion,marmion,8349419
Mansfield Park,mansfield-park,8349430
Whyalla Stuart,whyalla-stuart,8520183
Wyee Point,wyee-point,8539256
Bluewater,bluewater,8600527
Largs North,largs-north,9234521
Seaford Rise,seaford-rise,9440342
Stafford Heights,stafford-heights,9957328
Pullenvale,pullenvale,9957656
Noble Park North,noble-park-north,9972524
Keilor Lodge,keilor-lodge,9972572
Williamstown North,williamstown-north,9972580
Balmain East,balmain-east,9972598
Cambridge Park,cambridge-park,9972622
Denham Court,denham-court,9972654
Spring Farm,spring-farm,9972944
Muirhead,muirhead,9972978
Semaphore Park,semaphore-park,9973096
Clarence Gardens,clarence-gardens,9973135
Alberton,alberton,2178194
